omdsh-dev/Qwen-MM-Plugins	NONE
omdsh-dev/sandbox-micro	NONE
omdsh-dev/sandbox-mxc	NONE
omdsh-dev/sandbox-nono	NONE
omdsh-dev/session-teleport	BSD-3-Clause
omdsh-dev/web-components	NONE
orriduck/dsh-tui	MIT
PangYiMing/dsh-batch-regression	MIT
PangYiMing/dsh-bisect-debug	MIT
PangYiMing/dsh-browser-control	MIT
PangYiMing/dsh-mobile-control	MIT
PangYiMing/dsh-port-guard	MIT
PangYiMing/dsh-screenshot-diff	MIT
qyw233/dsh-deeplink	MIT
RealAlexandreAI/dsh-all-search	MIT
RealAlexandreAI/dsh-atuin	MIT
RealAlexandreAI/dsh-cloudflare-browser-run	MIT
RealAlexandreAI/dsh-nocturne-memory	MIT
renat3u/dsh-web-archive	NONE
SiYue-ZO/dsh-translator	MIT
sjscy05/matlab-modelsim-vivado-plugin	MIT
Small-tailqwq/dsh-tps	BSD-3-Clause
THU-MAIC/dsh-openmaic	MIT
titanwings/dsh-automation	MIT
titanwings/dsh-better-browser	BSD-3-Clause
titanwings/dsh-plannotator	MIT
vibeinging/dsh-agent-budget	NONE
vibeinging/dsh-tool-search	MIT
vibeinging/dsh-trace	BSD-3-Clause
vibeinging/dsh-turn-navigator	BSD-3-Clause
vlln/dsh-loop	MIT
vlln/dsh-navbar	MIT
vlln/dsh-task-status	MIT
vlln/whale-girl	MIT
william-jin-cmu/dsh-evolve	NONE
william-jin-cmu/dsh-stickers	BSD-3-Clause
yjh051108/dsh-super-injector	NONE
yoke233/dsh-openai-codex-auth	MIT
yoke233/dsh-tool-monitor	MIT
yuezengwu/dsh-explain	MIT
yuxino/dsh-blue-whale-maid	NOASSERTION
YYTbit/dsh-plugin-claude-bridge	MIT
YYTbit/dsh-plugin-codex-bridge	MIT
YYTbit/dsh-plugin-opencode-bridge	MIT
YYTbit/dsh-plugin-pi-bridge	MIT
ZeroHackz/OpenFlowFrames	GPL-3.0
zevorn/dsh-humanize	NONE
Zhenyu98/dsh-context-doctor	BSD-3-Clause
ZSeven-W/dsh-openpencil	MIT
